timestamp,sensor,data
1751517490.9334488,imu,"(-0.01638, 0.00278, -1.01801, -0.0024, 0.00732, 0.009)"
1751517490.9735022,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517490.9941583,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517491.053427,imu,"(-0.01097, 0.00882, -1.01706, 0.00172, 0.00724, 0.00593)"
1751517491.0736704,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517491.0933728,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517491.1162677,attitude,"(84.14, -2.36, -2.1)"
1751517491.1332703,position,"(0.59893, -0.06584, 0.0)"
1751517491.153096,imu,"(-0.00906, 0.00668, -1.01646, 0.00101, 0.00963, 0.00806)"
1751517491.1733463,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517491.193142,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517491.253364,imu,"(0.1797, -0.04984, -1.0271, 0.01041, 0.02743, 0.03359)"
1751517491.2734835,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517491.293622,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517491.3350997,attitude,"(84.7, -2.21, -2.0)"
1751517491.354402,position,"(0.61388, -0.03539, 0.0)"
1751517491.3733451,imu,"(0.19562, 0.06198, -1.02681, -0.01301, -0.01623, -0.08359)"
1751517491.3938985,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517491.4159644,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517491.4735787,imu,"(0.00176, -0.051, -1.03601, -0.01308, -0.06431, 0.02607)"
1751517491.4940348,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517491.5146904,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517491.5341165,attitude,"(84.01, -2.41, -1.98)"
1751517491.5538688,position,"(0.62725, 0.05328, 0.0)"
1751517491.5742543,imu,"(-0.07532, 0.03153, -1.02186, 0.03307, -0.00786, -0.05921)"
1751517491.594149,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517491.6138272,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517491.67412,imu,"(0.12169, -0.01054, -1.00019, -0.05844, 0.01279, 0.0303)"
1751517491.694432,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517491.7137449,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517491.7339149,attitude,"(84.0, -2.38, -2.08)"
1751517491.7531776,position,"(0.63565, 0.13971, 0.0)"
1751517491.773496,imu,"(-0.08866, -0.00911, -1.01511, 0.00405, 0.10068, 0.04745)"
1751517491.7941508,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517491.815865,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517491.8739858,imu,"(-0.00403, -0.02747, -1.0258, 0.01667, 0.00619, 0.0567)"
1751517491.8952005,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517491.916011,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517491.934266,attitude,"(84.06, -2.31, -2.1)"
1751517491.9534888,position,"(0.64316, 0.23162, 0.0)"
1751517491.9740698,imu,"(0.05737, -0.01162, -1.01272, -0.07612, 0.0103, 0.02277)"
1751517491.99415,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517492.0153139,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517492.0743816,imu,"(-0.05374, -0.00209, -1.02555, 0.00185, 0.01746, 0.01071)"
1751517492.0935063,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517492.1147015,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517492.1334677,attitude,"(84.07, -2.35, -2.04)"
1751517492.1527026,position,"(0.65289, 0.34239, 0.0)"
1751517492.173941,imu,"(0.0416, 0.02857, -1.02211, 0.05952, -0.05912, 0.00797)"
1751517492.1940088,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517492.215607,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517492.2737262,imu,"(-0.22907, 0.01834, -1.00568, 0.02662, 0.02073, -0.03671)"
1751517492.314211,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517492.3341713,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517492.3547544,attitude,"(84.11, -2.53, -2.05)"
1751517492.3740885,position,"(0.65884, 0.42505, 0.0)"
1751517492.3930264,imu,"(-0.01664, 0.0236, -0.99377, 0.01092, 0.0369, 0.02927)"
1751517492.413992,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517492.4340124,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517492.4937332,imu,"(0.00745, 0.00384, -1.01362, -0.01201, -0.06239, 0.00016)"
1751517492.51378,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517492.5341413,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517492.5534618,attitude,"(84.07, -2.55, -2.01)"
